https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1617840000,2021-04-08 00:00:00,LTC/USDT,218.7968356,228.0,217.08358233,226.28395299,3455702.2169059,15472.77874956
1617755202,2021-04-07 00:26:42,LTC/USDT,218.97118312,218.97118312,218.97118312,218.97118312,0.0,0.0
1617753600,2021-04-07 00:00:00,LTC/USDT,236.96687722,242.7947917,211.00163215,218.97118312,7223213.73087273,32183.78347248
1617668666,2021-04-06 00:24:26,LTC/USDT,236.78940867,236.78940867,236.78940867,236.78940867,0.0,0.0
1617667200,2021-04-06 00:00:00,LTC/USDT,221.03402235,244.41329185,213.18528943,236.78940867,6434384.36373374,27955.37118323
1617582139,2021-04-05 00:22:19,LTC/USDT,221.16219034,221.16219034,221.16219034,221.16219034,0.0,0.0
1617580800,2021-04-05 00:00:00,LTC/USDT,202.54357748,225.0,198.2099546,221.16219034,4648820.41871576,22021.94872349
1617495594,2021-04-04 00:19:54,LTC/USDT,202.3632243,202.3632243,202.3632243,202.3632243,0.0,0.0
1617494400,2021-04-04 00:00:00,LTC/USDT,195.08477627,204.61659789,192.4442994,202.3632243,1530981.2879411,7625.15493534
1617408814,2021-04-03 00:13:34,LTC/USDT,195.34515,195.34515,195.34515,195.34515,0.0,0.0
1617408000,2021-04-03 00:00:00,LTC/USDT,211.47627807,217.85764,195.01767556,195.34515,3823033.88057156,18394.53966293
1617322373,2021-04-02 00:12:53,LTC/USDT,211.55716857,211.55716857,211.55716857,211.55716857,0.0,0.0
1617321600,2021-04-02 00:00:00,LTC/USDT,202.66265841,213.55482713,200.85415555,211.55716857,4067577.96907801,19736.92857159
1617235989,2021-04-01 00:13:09,LTC/USDT,202.35291467,202.35291467,202.35291467,202.35291467,0.0,0.0
1617235200,2021-04-01 00:00:00,LTC/USDT,196.94523102,204.92779608,194.30502449,202.35291467,2507494.51332943,12584.02872954
1617149618,2021-03-31 00:13:38,LTC/USDT,196.79881498,196.79881498,196.79881498,196.79881498,0.0,0.0
1617148800,2021-03-31 00:00:00,LTC/USDT,195.66074289,198.87309508,187.12121212,196.79881498,2844123.34390845,14741.30785867
1617063238,2021-03-30 00:13:58,LTC/USDT,195.77155305,195.77155305,195.77155305,195.77155305,0.0,0.0
1617062400,2021-03-30 00:00:00,LTC/USDT,193.92373,199.88398405,190.44642564,195.77155305,2214524.65342347,11349.46398268
1616976622,2021-03-29 00:10:22,LTC/USDT,194.0470592,194.0470592,194.0470592,194.0470592,0.0,0.0
1616976000,2021-03-29 00:00:00,LTC/USDT,184.31685707,197.40498968,182.55725495,194.0470592,1980760.75251519,10231.67588083
1616890313,2021-03-28 00:11:53,LTC/USDT,184.2402134,184.2402134,184.2402134,184.2402134,0.0,0.0
