https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1616631245,2021-03-25 00:14:05,XRP/USDT,0.51247622,0.51247622,0.51247622,0.51247622,0.0,0.0
1616630400,2021-03-25 00:00:00,XRP/USDT,0.47938602,0.52436862,0.45542285,0.51247622,6137868.12035673,12487564.58954852
1616544841,2021-03-24 00:14:01,XRP/USDT,0.48045518,0.48045518,0.48045518,0.48045518,0.0,0.0
1616544000,2021-03-24 00:00:00,XRP/USDT,0.5489255,0.56265365,0.452,0.48045518,6671730.3709882,12831812.77165974
1616458300,2021-03-23 00:11:40,XRP/USDT,0.54892756,0.54892756,0.54892756,0.54892756,0.0,0.0
1616457600,2021-03-23 00:00:00,XRP/USDT,0.5451563,0.59538234,0.538,0.54892756,5658466.33286771,9992142.26308687
1616371924,2021-03-22 00:12:04,XRP/USDT,0.54416299,0.54416299,0.54416299,0.54416299,0.0,0.0
1616371200,2021-03-22 00:00:00,XRP/USDT,0.5172584,0.6,0.5012459,0.54416299,10478252.62330198,18767277.60481472
1616285472,2021-03-21 00:11:12,XRP/USDT,0.5170328,0.5170328,0.5170328,0.5170328,0.0,0.0
1616284800,2021-03-21 00:00:00,XRP/USDT,0.52837859,0.54559738,0.49524514,0.5170328,5121195.60429301,9959414.18989968
1616199105,2021-03-20 00:11:45,XRP/USDT,0.52588154,0.52588154,0.52588154,0.52588154,0.0,0.0
1616198400,2021-03-20 00:00:00,XRP/USDT,0.46645767,0.549,0.46470234,0.52588154,8204259.99147105,16215009.63295215
1616112680,2021-03-19 00:11:20,XRP/USDT,0.46702394,0.46702394,0.46702394,0.46702394,0.0,0.0
1616112000,2021-03-19 00:00:00,XRP/USDT,0.4686163,0.475,0.45902296,0.46702394,2084081.67811736,4440742.15960244
1616026305,2021-03-18 00:11:45,XRP/USDT,0.46916578,0.46916578,0.46916578,0.46916578,0.0,0.0
1616025600,2021-03-18 00:00:00,XRP/USDT,0.46999999,0.49060201,0.46655379,0.46916578,3128991.68549369,6591120.54364241
1615940035,2021-03-17 00:13:55,XRP/USDT,0.46993113,0.46993113,0.46993113,0.46993113,0.0,0.0
1615939200,2021-03-17 00:00:00,XRP/USDT,0.46153809,0.48187718,0.45396384,0.46993113,9321673.0901526,19972947.1392118
1615853521,2021-03-16 00:12:01,XRP/USDT,0.46008507,0.46008507,0.46008507,0.46008507,0.0,0.0
1615852800,2021-03-16 00:00:00,XRP/USDT,0.43616328,0.52026084,0.42652255,0.46008507,8900480.23534953,18819308.91370367
1615767107,2021-03-15 00:11:47,XRP/USDT,0.43574793,0.43574793,0.43574793,0.43574793,0.0,0.0
1615766400,2021-03-15 00:00:00,XRP/USDT,0.43867236,0.44803027,0.423,0.43574793,3141305.73139906,7202860.63943261
1615680706,2021-03-14 00:11:46,XRP/USDT,0.4391913,0.4391913,0.4391913,0.4391913,0.0,0.0
1615680000,2021-03-14 00:00:00,XRP/USDT,0.45792177,0.46148311,0.43869437,0.4391913,2597156.02286426,5768777.33985852
1615594296,2021-03-13 00:11:36,XRP/USDT,0.45860066,0.45860066,0.45860066,0.45860066,0.0,0.0
1615593600,2021-03-13 00:00:00,XRP/USDT,0.43951399,0.46637167,0.43237498,0.45860066,4729538.43946271,10501778.79664152
1615507900,2021-03-12 00:11:40,XRP/USDT,0.43908694,0.43908694,0.43908694,0.43908694,0.0,0.0
1615507200,2021-03-12 00:00:00,XRP/USDT,0.45228244,0.46464772,0.4232,0.43908694,3862054.57407698,8675669.45910264
1615421556,2021-03-11 00:12:36,XRP/USDT,0.45123708,0.45123708,0.45123708,0.45123708,0.0,0.0
1615420800,2021-03-11 00:00:00,XRP/USDT,0.46221002,0.46428481,0.44076265,0.45123708,2590949.52083446,5737981.84752709
1615335142,2021-03-10 00:12:22,XRP/USDT,0.46145332,0.46145332,0.46145332,0.46145332,0.0,0.0
1615334400,2021-03-10 00:00:00,XRP/USDT,0.48525247,0.48824829,0.45350001,0.46145332,3914373.66465193,8379457.52316761
1615248680,2021-03-09 00:11:20,XRP/USDT,0.48497482,0.48497482,0.48497482,0.48497482,0.0,0.0
1615248000,2021-03-09 00:00:00,XRP/USDT,0.47428091,0.487,0.47195603,0.48497482,2508392.60528308,5225107.41669128
1615162291,2021-03-08 00:11:31,XRP/USDT,0.47325555,0.47325555,0.47325555,0.47325555,0.0,0.0
1615161600,2021-03-08 00:00:00,XRP/USDT,0.46560161,0.48971223,0.45515665,0.47325555,3037767.69879489,6435103.45674596
1615075786,2021-03-07 00:09:46,XRP/USDT,0.46557767,0.46557767,0.46557767,0.46557767,0.0,0.0
1615075200,2021-03-07 00:00:00,XRP/USDT,0.4646666,0.46871432,0.45703677,0.46557767,1924462.45886754,4152915.99596088
1614989828,2021-03-06 00:17:08,XRP/USDT,0.4623,0.4623,0.4623,0.4623,0.0,0.0
1614988800,2021-03-06 00:00:00,XRP/USDT,0.4548519,0.47075287,0.45080642,0.4623,2139037.70908461,4651722.4776764
1614903822,2021-03-05 00:23:42,XRP/USDT,0.45619667,0.45619667,0.45619667,0.45619667,0.0,0.0
1614902400,2021-03-05 00:00:00,XRP/USDT,0.48097285,0.4842,0.44512879,0.45619667,4322912.1358172,9433088.76724211
1614817200,2021-03-04 00:20:00,XRP/USDT,0.48097285,0.48097285,0.48097285,0.48097285,0.0,0.0
1614816000,2021-03-04 00:00:00,XRP/USDT,0.44805147,0.4941,0.43504357,0.48097285,7978938.94453067,17221021.54242842
1614732164,2021-03-03 00:42:44,XRP/USDT,0.4488,0.4488,0.4488,0.4488,0.0,0.0
1614729600,2021-03-03 00:00:00,XRP/USDT,0.43514019,0.46705686,0.43036036,0.4488,3800756.8685489,8450322.36045085
1614644212,2021-03-02 00:16:52,XRP/USDT,0.43525607,0.43525607,0.43525607,0.43525607,0.0,0.0
1614643200,2021-03-02 00:00:00,XRP/USDT,0.44559958,0.455,0.42162109,0.43525607,3038271.59899397,6952924.99178405
1614557862,2021-03-01 00:17:42,XRP/USDT,0.44599535,0.44599535,0.44599535,0.44599535,0.0,0.0
1614556800,2021-03-01 00:00:00,XRP/USDT,0.41668464,0.45355547,0.41228719,0.44599535,2958058.55291683,6833551.55229043
1614471829,2021-02-28 00:23:49,XRP/USDT,0.4155,0.4155,0.4155,0.4155,0.0,0.0
1614470400,2021-02-28 00:00:00,XRP/USDT,0.43545898,0.4380166,0.39333734,0.4155,3478854.67011636,8422920.82830503
1614385210,2021-02-27 00:20:10,XRP/USDT,0.43607716,0.43607716,0.43607716,0.43607716,0.0,0.0
1614384000,2021-02-27 00:00:00,XRP/USDT,0.42831161,0.45865082,0.42692952,0.43607716,3307000.54137224,7468059.36440882
1614298624,2021-02-26 00:17:04,XRP/USDT,0.428,0.428,0.428,0.428,0.0,0.0
1614297600,2021-02-26 00:00:00,XRP/USDT,0.4356,0.45044506,0.41159793,0.428,5085070.11831059,11842623.87319008
1614212098,2021-02-25 00:14:58,XRP/USDT,0.4354,0.4354,0.4354,0.4354,0.0,0.0
1614211200,2021-02-25 00:00:00,XRP/USDT,0.46801371,0.48197592,0.4249,0.4354,3938204.74962093,8553942.67764452
1614126658,2021-02-24 00:30:58,XRP/USDT,0.46875993,0.46875993,0.46875993,0.46875993,0.0,0.0
1614124800,2021-02-24 00:00:00,XRP/USDT,0.47589965,0.4997,0.45170876,0.46875993,5098234.34534889,10637749.8996207
1614039067,2021-02-23 00:11:07,XRP/USDT,0.47589965,0.47589965,0.47589965,0.47589965,0.0,0.0
1614038400,2021-02-23 00:00:00,XRP/USDT,0.56630001,0.57132131,0.3705,0.47589965,24301506.47061555,51675180.14385935
1613952800,2021-02-22 00:13:20,XRP/USDT,0.56558491,0.56558491,0.56558491,0.56558491,0.0,0.0
1613952000,2021-02-22 00:00:00,XRP/USDT,0.54527826,0.649,0.51548071,0.56558491,31870633.09172631,55355416.69602682
1613866408,2021-02-21 00:13:28,XRP/USDT,0.5440213,0.5440213,0.5440213,0.5440213,0.0,0.0
1613865600,2021-02-21 00:00:00,XRP/USDT,0.51196886,0.5581,0.50354447,0.5440213,7085015.81778399,13281908.60117004
1613780053,2021-02-20 00:14:13,XRP/USDT,0.51230894,0.51230894,0.51230894,0.51230894,0.0,0.0
1613779200,2021-02-20 00:00:00,XRP/USDT,0.56422912,0.58209385,0.4734589,0.51230894,11257556.89030203,20834312.97470173
1613693602,2021-02-19 00:13:22,XRP/USDT,0.56335432,0.56335432,0.56335432,0.56335432,0.0,0.0
1613692800,2021-02-19 00:00:00,XRP/USDT,0.5324996,0.583,0.5140046,0.56335432,9243640.14626169,16669268.72007773
1613607289,2021-02-18 00:14:49,XRP/USDT,0.53096099,0.53096099,0.53096099,0.53096099,0.0,0.0
1613606400,2021-02-18 00:00:00,XRP/USDT,0.53484657,0.55909277,0.51816,0.53096099,4819850.00907381,8945230.5295674
1613521416,2021-02-17 00:23:36,XRP/USDT,0.5340274,0.5340274,0.5340274,0.5340274,0.0,0.0
1613520000,2021-02-17 00:00:00,XRP/USDT,0.51992898,0.55737518,0.49359387,0.5340274,7377737.81955438,13867120.12550202
