https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1454198400,2016-01-31 00:00:00,BTC/USDT,378.67,380.5,371.0,371.21,6830.27,18.12
1454112000,2016-01-30 00:00:00,BTC/USDT,376.86,380.5,371.2,378.67,1781.2,4.723
1454025600,2016-01-29 00:00:00,BTC/USDT,378.0,381.0,357.59,376.86,12980.18,34.81
1453939200,2016-01-28 00:00:00,BTC/USDT,396.0,396.0,374.69,378.0,11050.97,29.05
1453852800,2016-01-27 00:00:00,BTC/USDT,391.46,401.18,384.33,396.0,14258.56,36.28
1453766400,2016-01-26 00:00:00,BTC/USDT,392.17,399.66,384.91,391.46,14397.16,36.8
1453680000,2016-01-25 00:00:00,BTC/USDT,406.8,406.8,384.91,392.17,18079.89,45.72
1453593600,2016-01-24 00:00:00,BTC/USDT,384.12,407.92,378.81,406.8,10524.03,26.8
1453507200,2016-01-23 00:00:00,BTC/USDT,380.97,404.36,378.03,384.12,13320.66,34.23
1453420800,2016-01-22 00:00:00,BTC/USDT,406.0,413.27,375.0,380.97,6756.02,17.39
1453334400,2016-01-21 00:00:00,BTC/USDT,418.0,422.88,401.43,406.0,6839.39,16.64
1453248000,2016-01-20 00:00:00,BTC/USDT,377.42,422.3,377.42,418.0,15081.99,37.27
1453161600,2016-01-19 00:00:00,BTC/USDT,384.5,395.0,376.73,378.5,10280.19,26.55
1453075200,2016-01-18 00:00:00,BTC/USDT,372.5,399.95,367.11,384.5,20971.96,54.43
1452988800,2016-01-17 00:00:00,BTC/USDT,381.82,394.1,372.5,372.5,13784.95,36.11
1452902400,2016-01-16 00:00:00,BTC/USDT,369.99,388.0,333.6,381.82,20720.36,56.99
1452816000,2016-01-15 00:00:00,BTC/USDT,429.5,429.5,360.0,369.99,25995.78,65.77
1452729600,2016-01-14 00:00:00,BTC/USDT,433.18,435.0,424.0,429.5,2467.59,5.734
1452643200,2016-01-13 00:00:00,BTC/USDT,446.2,446.2,424.0,433.18,9659.3,22.43
1452556800,2016-01-12 00:00:00,BTC/USDT,448.44,448.62,444.0,446.2,7646.45,17.17
1452470400,2016-01-11 00:00:00,BTC/USDT,447.87,455.67,444.89,448.44,6322.99,14.11
1452384000,2016-01-10 00:00:00,BTC/USDT,447.42,453.03,440.02,447.87,9380.19,21.05
1452297600,2016-01-09 00:00:00,BTC/USDT,455.0,457.4,447.0,447.42,2063.48,4.582
1452211200,2016-01-08 00:00:00,BTC/USDT,451.1,468.0,447.0,455.0,6744.7,14.75
1452124800,2016-01-07 00:00:00,BTC/USDT,427.5,456.8,427.5,451.1,9421.71,21.2
1452038400,2016-01-06 00:00:00,BTC/USDT,430.38,435.0,427.29,427.5,819.34,1.903
1451952000,2016-01-05 00:00:00,BTC/USDT,432.0,436.0,429.57,430.38,427.65,0.9925
1451865600,2016-01-04 00:00:00,BTC/USDT,428.14,436.0,427.29,432.0,724.98,1.673
1451779200,2016-01-03 00:00:00,BTC/USDT,436.95,436.95,426.45,428.14,683.92,1.596
1451692800,2016-01-02 00:00:00,BTC/USDT,434.99,438.14,430.5,436.95,944.85,2.18
1451606400,2016-01-01 00:00:00,BTC/USDT,430.57,435.0,428.26,434.99,2975.03,6.887
1451520000,2015-12-31 00:00:00,BTC/USDT,425.12,430.57,417.0,430.57,2544.35,6.039
1451433600,2015-12-30 00:00:00,BTC/USDT,427.0,434.07,420.0,425.12,3501.01,8.285
1451347200,2015-12-29 00:00:00,BTC/USDT,423.6,437.08,421.1,427.0,3568.16,8.351
1451260800,2015-12-28 00:00:00,BTC/USDT,421.24,431.69,417.0,423.6,3195.22,7.566
1451174400,2015-12-27 00:00:00,BTC/USDT,418.54,429.68,412.32,421.24,5994.62,14.22
1451088000,2015-12-26 00:00:00,BTC/USDT,459.38,461.0,409.0,418.54,11375.26,26.56
1451001600,2015-12-25 00:00:00,BTC/USDT,453.06,459.4,450.0,459.38,1810.73,3.999
1450915200,2015-12-24 00:00:00,BTC/USDT,445.79,464.89,441.0,453.06,5399.7,11.89
1450828800,2015-12-23 00:00:00,BTC/USDT,434.84,446.0,434.0,445.79,2585.93,5.893
1450742400,2015-12-22 00:00:00,BTC/USDT,439.8,439.83,432.26,434.84,6790.84,15.54
1450656000,2015-12-21 00:00:00,BTC/USDT,438.1,443.1,426.0,439.8,11583.5,26.6
1450569600,2015-12-20 00:00:00,BTC/USDT,459.9,460.0,431.01,438.1,11349.63,25.51
1450483200,2015-12-19 00:00:00,BTC/USDT,460.0,466.93,452.13,459.9,11206.06,24.43
1450396800,2015-12-18 00:00:00,BTC/USDT,454.5,465.0,453.0,460.0,5083.22,11.11
1450310400,2015-12-17 00:00:00,BTC/USDT,453.0,458.0,451.0,454.5,1312.89,2.898
1450224000,2015-12-16 00:00:00,BTC/USDT,462.6,468.5,445.0,453.0,11249.01,24.78
1450137600,2015-12-15 00:00:00,BTC/USDT,444.65,463.84,443.0,462.6,14760.92,32.38
1450051200,2015-12-14 00:00:00,BTC/USDT,444.0,449.49,431.0,444.65,4167.05,9.425
1449964800,2015-12-13 00:00:00,BTC/USDT,432.87,445.0,423.25,444.0,8386.06,19.2
1449878400,2015-12-12 00:00:00,BTC/USDT,450.0,468.0,405.66,432.87,24433.49,56.85
1449792000,2015-12-11 00:00:00,BTC/USDT,417.0,456.66,417.0,450.0,22591.52,51.26
1449705600,2015-12-10 00:00:00,BTC/USDT,422.0,423.7,410.0,417.0,5721.58,13.78
1449619200,2015-12-09 00:00:00,BTC/USDT,413.8,429.0,404.48,422.0,16595.0,39.89
1449532800,2015-12-08 00:00:00,BTC/USDT,396.21,413.8,392.2,413.8,6645.14,16.62
1449446400,2015-12-07 00:00:00,BTC/USDT,390.3,403.0,388.0,396.21,6156.34,15.49
1449360000,2015-12-06 00:00:00,BTC/USDT,380.45,400.0,380.0,390.3,11307.57,28.76
1449273600,2015-12-05 00:00:00,BTC/USDT,365.51,392.27,360.13,380.45,13111.34,35.04
1449187200,2015-12-04 00:00:00,BTC/USDT,367.0,367.0,355.12,365.51,4006.19,11.14
1449100800,2015-12-03 00:00:00,BTC/USDT,366.37,375.0,356.0,367.0,2683.2,7.399
1449014400,2015-12-02 00:00:00,BTC/USDT,358.0,366.37,353.53,366.37,3635.55,10.19
1448928000,2015-12-01 00:00:00,BTC/USDT,379.5,379.5,355.0,358.0,6033.02,16.38
1448841600,2015-11-30 00:00:00,BTC/USDT,370.0,385.0,370.0,379.5,4270.3,11.27
1448755200,2015-11-29 00:00:00,BTC/USDT,357.0,378.89,356.0,370.0,2290.82,6.244
1448668800,2015-11-28 00:00:00,BTC/USDT,362.0,364.0,354.0,357.0,8396.01,23.5
1448582400,2015-11-27 00:00:00,BTC/USDT,355.1,378.89,349.0,362.0,5203.11,14.32
1448496000,2015-11-26 00:00:00,BTC/USDT,328.99,366.96,326.99,355.1,12785.88,37.16
1448409600,2015-11-25 00:00:00,BTC/USDT,321.0,329.0,318.1,328.99,4363.38,13.34
1448323200,2015-11-24 00:00:00,BTC/USDT,325.47,329.99,321.0,321.0,5114.09,15.77
1448236800,2015-11-23 00:00:00,BTC/USDT,331.9,334.69,324.0,325.47,415.5,1.257
1448150400,2015-11-22 00:00:00,BTC/USDT,328.8,334.69,323.1,331.9,3956.73,11.96
1448064000,2015-11-21 00:00:00,BTC/USDT,322.0,335.34,322.0,328.8,4256.15,12.97
1447977600,2015-11-20 00:00:00,BTC/USDT,327.0,332.95,318.0,322.0,5180.88,16.07
1447891200,2015-11-19 00:00:00,BTC/USDT,338.0,338.0,320.1,327.0,5717.99,17.29
1447804800,2015-11-18 00:00:00,BTC/USDT,334.01,341.78,334.0,338.0,3283.79,9.796
1447718400,2015-11-17 00:00:00,BTC/USDT,332.0,340.0,331.0,334.01,5305.65,15.78
1447632000,2015-11-16 00:00:00,BTC/USDT,318.0,336.0,318.0,332.0,3587.0,10.83
1447545600,2015-11-15 00:00:00,BTC/USDT,332.2,341.1,318.0,318.0,28004.67,85.82
1447459200,2015-11-14 00:00:00,BTC/USDT,339.01,340.0,332.2,332.2,3870.5,11.46
1447372800,2015-11-13 00:00:00,BTC/USDT,338.42,343.11,325.0,339.01,6865.5,20.44
1447286400,2015-11-12 00:00:00,BTC/USDT,307.0,343.29,304.6,338.42,8182.62,24.73
1447200000,2015-11-11 00:00:00,BTC/USDT,335.0,341.0,303.33,307.0,24733.31,77.24
1447113600,2015-11-10 00:00:00,BTC/USDT,382.5,385.63,327.7,335.0,12998.4,37.0
1447027200,2015-11-09 00:00:00,BTC/USDT,370.0,387.91,363.0,382.5,11762.07,31.7
1446940800,2015-11-08 00:00:00,BTC/USDT,390.0,391.0,369.0,370.0,3370.29,8.942
1446854400,2015-11-07 00:00:00,BTC/USDT,378.0,397.33,367.3,390.0,14134.88,36.73
1446768000,2015-11-06 00:00:00,BTC/USDT,383.1,398.89,350.0,378.0,16531.17,44.59
1446681600,2015-11-05 00:00:00,BTC/USDT,391.0,416.06,366.71,383.1,24580.91,62.72
1446595200,2015-11-04 00:00:00,BTC/USDT,392.1,477.0,359.49,391.0,47564.8,110.79
1446508800,2015-11-03 00:00:00,BTC/USDT,369.99,424.0,355.87,392.1,28622.54,74.08
1446422400,2015-11-02 00:00:00,BTC/USDT,326.74,370.03,320.37,369.99,9465.53,26.77
1446336000,2015-11-01 00:00:00,BTC/USDT,310.0,328.96,310.0,326.74,1128.35,3.498
1446249600,2015-10-31 00:00:00,BTC/USDT,325.0,332.0,306.46,310.0,9465.16,29.72
1446163200,2015-10-30 00:00:00,BTC/USDT,309.57,325.0,307.1,325.0,15462.83,48.55
1446076800,2015-10-29 00:00:00,BTC/USDT,304.89,314.68,293.31,309.57,7432.56,24.02
1445990400,2015-10-28 00:00:00,BTC/USDT,297.5,307.75,281.02,304.89,6229.52,20.77
1445904000,2015-10-27 00:00:00,BTC/USDT,280.26,298.5,280.26,297.5,5471.91,18.85
1445817600,2015-10-26 00:00:00,BTC/USDT,290.5,291.02,279.0,280.26,3369.0,11.83
1445731200,2015-10-25 00:00:00,BTC/USDT,280.0,298.74,280.0,290.5,4737.0,16.32
1445644800,2015-10-24 00:00:00,BTC/USDT,277.86,283.93,277.86,280.0,435.87,1.56
1445558400,2015-10-23 00:00:00,BTC/USDT,276.15,284.3,270.31,277.86,917.4,3.291
1445472000,2015-10-22 00:00:00,BTC/USDT,266.3,276.15,261.0,276.15,2239.01,8.371
1445385600,2015-10-21 00:00:00,BTC/USDT,275.5,275.5,261.92,266.3,2331.35,8.711
1445299200,2015-10-20 00:00:00,BTC/USDT,263.0,275.5,262.0,275.5,1011.07,3.75
1445212800,2015-10-19 00:00:00,BTC/USDT,270.0,270.0,261.5,263.0,205.74,0.7736
1445126400,2015-10-18 00:00:00,BTC/USDT,267.04,273.0,261.0,270.0,1209.77,4.538
1445040000,2015-10-17 00:00:00,BTC/USDT,266.08,277.64,261.0,267.04,699.36,2.602
1444953600,2015-10-16 00:00:00,BTC/USDT,259.24,266.08,254.01,266.08,796.8,3.057
1444867200,2015-10-15 00:00:00,BTC/USDT,252.3,262.67,251.03,259.24,1223.81,4.757
1444780800,2015-10-14 00:00:00,BTC/USDT,248.47,257.26,247.16,252.3,736.4,2.929
1444694400,2015-10-13 00:00:00,BTC/USDT,244.6,250.4,244.6,248.47,285.59,1.153
1444608000,2015-10-12 00:00:00,BTC/USDT,243.41,248.38,243.41,244.6,191.45,0.7799
1444521600,2015-10-11 00:00:00,BTC/USDT,246.5,247.98,243.1,243.41,949.1,3.851
1444435200,2015-10-10 00:00:00,BTC/USDT,246.4,246.5,242.4,246.5,101.6,0.4144
1444348800,2015-10-09 00:00:00,BTC/USDT,246.89,246.89,242.0,246.4,443.75,1.822
1444262400,2015-10-08 00:00:00,BTC/USDT,243.0,248.5,242.06,246.89,261.53,1.063
1444176000,2015-10-07 00:00:00,BTC/USDT,242.25,252.39,241.0,243.0,586.73,2.382
1444089600,2015-10-06 00:00:00,BTC/USDT,236.98,249.77,236.98,242.25,522.6,2.139
1444003200,2015-10-05 00:00:00,BTC/USDT,238.8,242.97,236.98,236.98,131.78,0.5535
1443916800,2015-10-04 00:00:00,BTC/USDT,243.0,243.0,237.99,238.8,52.97,0.2208
1443830400,2015-10-03 00:00:00,BTC/USDT,240.0,243.0,237.99,243.0,28.31,0.1177
1443744000,2015-10-02 00:00:00,BTC/USDT,242.7,243.54,236.2,240.0,458.58,1.892
1443657600,2015-10-01 00:00:00,BTC/USDT,241.1,242.7,236.0,242.7,245.03,1.015
1443571200,2015-09-30 00:00:00,BTC/USDT,242.0,245.4,233.0,241.1,680.26,2.84
1443484800,2015-09-29 00:00:00,BTC/USDT,243.2,245.5,232.0,242.0,14256.31,59.2
1443398400,2015-09-28 00:00:00,BTC/USDT,233.0,243.49,233.0,243.2,779.11,3.265
1443312000,2015-09-27 00:00:00,BTC/USDT,233.0,237.1,233.0,233.0,28.95,0.124
1443225600,2015-09-26 00:00:00,BTC/USDT,238.0,238.0,232.5,233.0,115.85,0.4919
1443139200,2015-09-25 00:00:00,BTC/USDT,235.0,238.26,232.01,238.0,210.62,0.899
1443052800,2015-09-24 00:00:00,BTC/USDT,228.0,235.0,228.0,235.0,619.65,2.651
1442966400,2015-09-23 00:00:00,BTC/USDT,226.52,232.5,226.52,228.0,77.83,0.3408
1442880000,2015-09-22 00:00:00,BTC/USDT,227.5,232.5,225.91,226.52,643.48,2.831
1442793600,2015-09-21 00:00:00,BTC/USDT,234.47,234.47,227.17,227.5,368.88,1.601
1442707200,2015-09-20 00:00:00,BTC/USDT,234.47,234.47,231.47,234.47,67.14,0.287
1442620800,2015-09-19 00:00:00,BTC/USDT,238.26,238.26,231.47,234.47,177.84,0.7601
1442534400,2015-09-18 00:00:00,BTC/USDT,232.5,238.26,232.5,238.26,61.32,0.2594
1442448000,2015-09-17 00:00:00,BTC/USDT,230.0,235.69,230.0,232.5,99.7,0.4259
1442361600,2015-09-16 00:00:00,BTC/USDT,233.0,233.47,230.0,230.0,41.96,0.1815
1442275200,2015-09-15 00:00:00,BTC/USDT,228.5,233.0,228.5,233.0,120.34,0.5227
1442188800,2015-09-14 00:00:00,BTC/USDT,226.5,233.98,226.5,228.5,201.71,0.876
1442102400,2015-09-13 00:00:00,BTC/USDT,240.0,240.0,226.5,226.5,487.21,2.091
1442016000,2015-09-12 00:00:00,BTC/USDT,238.7,244.91,236.61,240.0,696.2,2.908
1441929600,2015-09-11 00:00:00,BTC/USDT,236.53,255.0,236.37,238.7,1386.14,5.647
1441843200,2015-09-10 00:00:00,BTC/USDT,240.6,243.65,236.5,236.53,175.4,0.7268
1441756800,2015-09-09 00:00:00,BTC/USDT,239.9,243.0,236.5,240.6,793.61,3.336
1441670400,2015-09-08 00:00:00,BTC/USDT,245.0,245.0,239.9,239.9,11.55,0.04746
1441584000,2015-09-07 00:00:00,BTC/USDT,237.75,245.0,236.5,245.0,1923.4,7.959
1441497600,2015-09-06 00:00:00,BTC/USDT,233.0,243.23,233.0,237.75,746.77,3.109
1441411200,2015-09-05 00:00:00,BTC/USDT,231.0,238.99,226.54,233.0,1058.48,4.562
1441324800,2015-09-04 00:00:00,BTC/USDT,231.0,231.0,225.0,231.0,272.2,1.189
1441238400,2015-09-03 00:00:00,BTC/USDT,226.0,232.67,224.36,231.0,163.12,0.7087
1441152000,2015-09-02 00:00:00,BTC/USDT,223.94,233.0,222.29,226.0,391.79,1.717
1441065600,2015-09-01 00:00:00,BTC/USDT,225.04,229.5,223.32,223.94,995.6,4.419
1440979200,2015-08-31 00:00:00,BTC/USDT,215.03,226.9,211.0,225.04,624.09,2.86
1440892800,2015-08-30 00:00:00,BTC/USDT,235.0,235.0,211.01,215.03,973.42,4.374
1440806400,2015-08-29 00:00:00,BTC/USDT,230.14,235.0,220.0,235.0,925.52,4.08
1440720000,2015-08-28 00:00:00,BTC/USDT,208.5,233.99,208.3,230.14,346.49,1.523
1440633600,2015-08-27 00:00:00,BTC/USDT,227.98,229.2,208.5,208.5,1567.22,7.092
1440547200,2015-08-26 00:00:00,BTC/USDT,219.99,227.99,216.16,227.98,1337.6,5.972
1440460800,2015-08-25 00:00:00,BTC/USDT,211.0,219.99,197.57,219.99,5076.31,24.47
1440374400,2015-08-24 00:00:00,BTC/USDT,228.45,237.0,201.46,211.0,6428.33,29.13
1440288000,2015-08-23 00:00:00,BTC/USDT,230.26,236.15,226.44,228.45,369.93,1.588
1440201600,2015-08-22 00:00:00,BTC/USDT,233.13,285.0,225.0,230.26,1097.99,4.491
1440115200,2015-08-21 00:00:00,BTC/USDT,234.0,242.05,228.0,233.13,2623.03,11.3
1440028800,2015-08-20 00:00:00,BTC/USDT,227.0,241.76,227.0,234.0,1900.5,8.178
1439942400,2015-08-19 00:00:00,BTC/USDT,251.0,251.0,174.57,227.0,6370.88,28.74
1439856000,2015-08-18 00:00:00,BTC/USDT,262.37,262.38,240.0,251.0,1823.5,7.226
1439769600,2015-08-17 00:00:00,BTC/USDT,257.0,263.88,257.0,262.37,115.68,0.4405
1439683200,2015-08-16 00:00:00,BTC/USDT,267.0,267.0,256.76,256.76,317.34,1.211
1439596800,2015-08-15 00:00:00,BTC/USDT,265.0,267.0,260.75,267.0,77.76,0.2938
1439510400,2015-08-14 00:00:00,BTC/USDT,263.0,265.0,255.0,265.0,556.23,2.129
1439424000,2015-08-13 00:00:00,BTC/USDT,265.41,269.88,260.0,263.0,838.99,3.189
1439337600,2015-08-12 00:00:00,BTC/USDT,269.26,275.63,263.33,265.41,682.19,2.558
1439251200,2015-08-11 00:00:00,BTC/USDT,266.22,269.26,261.61,269.26,247.49,0.9435
1439164800,2015-08-10 00:00:00,BTC/USDT,269.76,269.76,262.1,266.22,30.29,0.1136
1439078400,2015-08-09 00:00:00,BTC/USDT,263.0,269.76,262.1,269.76,389.24,1.457
1438992000,2015-08-08 00:00:00,BTC/USDT,275.92,282.24,262.65,263.0,1032.69,3.801
1438905600,2015-08-07 00:00:00,BTC/USDT,283.74,283.74,275.92,275.92,62.18,0.2254
1438819200,2015-08-06 00:00:00,BTC/USDT,287.57,287.57,275.64,283.74,167.09,0.5991
1438732800,2015-08-05 00:00:00,BTC/USDT,288.0,288.97,279.79,287.57,9.298,0.03224
1438646400,2015-08-04 00:00:00,BTC/USDT,288.97,288.97,281.1,288.0,11.95,0.04194
1438560000,2015-08-03 00:00:00,BTC/USDT,286.44,288.97,284.29,288.97,75.71,0.2639
1438473600,2015-08-02 00:00:00,BTC/USDT,279.85,286.44,279.85,286.44,106.56,0.374
1438387200,2015-08-01 00:00:00,BTC/USDT,285.05,285.05,275.72,279.85,301.38,1.081
1438300800,2015-07-31 00:00:00,BTC/USDT,284.61,287.88,284.0,285.05,29.23,0.1028
1438214400,2015-07-30 00:00:00,BTC/USDT,295.15,295.15,284.0,284.61,239.14,0.8265
1438128000,2015-07-29 00:00:00,BTC/USDT,291.45,299.47,291.45,295.15,428.82,1.448
1438041600,2015-07-28 00:00:00,BTC/USDT,293.19,294.39,290.35,291.45,80.5,0.2741
1437955200,2015-07-27 00:00:00,BTC/USDT,288.05,293.19,284.87,293.19,256.06,0.8974
1437868800,2015-07-26 00:00:00,BTC/USDT,283.93,293.92,283.93,288.05,3.263,0.01125
1437782400,2015-07-25 00:00:00,BTC/USDT,284.0,294.17,283.75,283.93,211.15,0.7217
1437696000,2015-07-24 00:00:00,BTC/USDT,278.0,284.0,278.0,284.0,167.5,0.5974
1437609600,2015-07-23 00:00:00,BTC/USDT,278.0,278.0,278.0,278.0,51.61,0.1856
1437523200,2015-07-22 00:00:00,BTC/USDT,279.86,282.79,278.0,278.0,485.08,1.727
1437436800,2015-07-21 00:00:00,BTC/USDT,281.93,286.0,279.1,279.86,327.67,1.151
1437350400,2015-07-20 00:00:00,BTC/USDT,272.91,282.5,272.91,281.93,295.7,1.053
1437264000,2015-07-19 00:00:00,BTC/USDT,275.52,281.45,272.91,272.91,86.62,0.3082
1437177600,2015-07-18 00:00:00,BTC/USDT,280.13,280.13,274.24,275.52,29.8,0.1086
1437091200,2015-07-17 00:00:00,BTC/USDT,281.43,281.43,274.74,280.13,268.2,0.9629
1437004800,2015-07-16 00:00:00,BTC/USDT,283.33,292.85,280.23,281.43,974.94,3.435
1436918400,2015-07-15 00:00:00,BTC/USDT,288.89,292.85,283.33,283.33,556.55,1.946
1436832000,2015-07-14 00:00:00,BTC/USDT,288.89,292.85,288.89,288.89,153.17,0.5297
1436745600,2015-07-13 00:00:00,BTC/USDT,306.56,312.0,270.0,288.89,1816.91,6.276
1436659200,2015-07-12 00:00:00,BTC/USDT,290.0,312.24,290.0,306.56,1592.51,5.258
1436572800,2015-07-11 00:00:00,BTC/USDT,286.0,298.26,265.41,290.0,707.95,2.49
1436486400,2015-07-10 00:00:00,BTC/USDT,267.1,289.33,267.1,286.0,1607.4,5.723
1436400000,2015-07-09 00:00:00,BTC/USDT,271.0,271.0,265.78,267.1,480.61,1.799
1436313600,2015-07-08 00:00:00,BTC/USDT,262.89,276.46,262.89,270.0,491.86,1.835
1436227200,2015-07-07 00:00:00,BTC/USDT,268.03,268.03,262.89,262.89,184.42,0.6965
1436140800,2015-07-06 00:00:00,BTC/USDT,266.99,301.0,266.0,268.03,572.4,2.114
1436054400,2015-07-05 00:00:00,BTC/USDT,257.0,276.59,254.53,266.99,701.85,2.648
1435968000,2015-07-04 00:00:00,BTC/USDT,256.22,257.0,253.49,257.0,129.1,0.505
1435881600,2015-07-03 00:00:00,BTC/USDT,256.22,256.22,255.0,256.22,55.89,0.219
1435795200,2015-07-02 00:00:00,BTC/USDT,263.06,263.06,255.0,256.22,38.3,0.1497
1435708800,2015-07-01 00:00:00,BTC/USDT,259.37,263.06,253.66,263.06,498.38,1.924
1435622400,2015-06-30 00:00:00,BTC/USDT,255.67,263.88,255.17,259.37,403.4,1.556
1435536000,2015-06-29 00:00:00,BTC/USDT,249.99,255.68,246.9,255.67,91.86,0.3635
1435449600,2015-06-28 00:00:00,BTC/USDT,250.0,250.0,245.0,249.99,1.19,0.00477
1435363200,2015-06-27 00:00:00,BTC/USDT,244.8,250.0,240.0,250.0,185.28,0.7462
1435276800,2015-06-26 00:00:00,BTC/USDT,244.26,244.8,239.0,244.8,63.75,0.2619
1435190400,2015-06-25 00:00:00,BTC/USDT,237.14,245.5,237.14,244.26,505.71,2.072
1435104000,2015-06-24 00:00:00,BTC/USDT,244.0,247.85,233.79,237.14,3153.67,13.07
1435017600,2015-06-23 00:00:00,BTC/USDT,245.0,249.0,244.0,244.0,35.7,0.1463
1434931200,2015-06-22 00:00:00,BTC/USDT,246.5,250.96,243.18,245.0,531.57,2.143
1434844800,2015-06-21 00:00:00,BTC/USDT,241.7,246.5,238.75,246.5,396.54,1.655
1434758400,2015-06-20 00:00:00,BTC/USDT,250.0,250.0,238.0,241.7,821.05,3.353
1434672000,2015-06-19 00:00:00,BTC/USDT,252.76,256.64,243.01,250.0,1373.66,5.516
1434585600,2015-06-18 00:00:00,BTC/USDT,250.0,254.0,245.0,252.76,354.33,1.416
1434499200,2015-06-17 00:00:00,BTC/USDT,234.32,250.0,234.32,250.0,646.71,2.6
1434412800,2015-06-16 00:00:00,BTC/USDT,237.0,241.8,234.32,234.32,149.45,0.631
1434326400,2015-06-15 00:00:00,BTC/USDT,239.0,239.0,234.0,237.0,119.96,0.5092
1434240000,2015-06-14 00:00:00,BTC/USDT,240.0,240.0,232.5,239.0,3.105,0.01334
1434153600,2015-06-13 00:00:00,BTC/USDT,230.0,240.0,230.0,240.0,63.69,0.2654
1434067200,2015-06-12 00:00:00,BTC/USDT,240.0,240.0,229.0,230.0,19.22,0.08158
1433980800,2015-06-11 00:00:00,BTC/USDT,237.0,240.0,229.0,240.0,43.55,0.1854
